2> Event: Processed message | System Time: 2025-02-28 19:04:37 | Logical Clock: 318 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:37 | Logical Clock: 319 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:37 | Logical Clock: 321 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:38 | Logical Clock: 322 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:38 | Logical Clock: 322 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:38 | Logical Clock: 323 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:38 | Logical Clock: 326 | Queue Length: 1
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:38 | Logical Clock: 327 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:39 | Logical Clock: 330 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:39 | Logical Clock: 331 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:39 | Logical Clock: 333 | Queue Length: 1
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:39 | Logical Clock: 334 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:40 | Logical Clock: 335 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:40 | Logical Clock: 338 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:40 | Logical Clock: 339 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:40 | Logical Clock: 339 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:41 | Logical Clock: 340 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:41 | Logical Clock: 340 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:41 | Logical Clock: 343 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:41 | Logical Clock: 344 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:41 | Logical Clock: 346 | Queue Length: 1
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:42 | Logical Clock: 347 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:42 | Logical Clock: 348 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:42 | Logical Clock: 348 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:42 | Logical Clock: 349 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:42 | Logical Clock: 349 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:42 | Logical Clock: 350 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:42 | Logical Clock: 350 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:43 | Logical Clock: 351 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:43 | Logical Clock: 355 | Queue Length: 1
2> Event: Stopped | System Time: 2025-02-28 19:04:43 | Logical Clock: 355 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:43 | Logical Clock: 357 | Queue Length: 1
